,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
far-miR1134,-0.074,-18.225,-0.002,0.05,0.0,0.05,-0.033,-1.281,-0.232,-0.215,-0.036,0.0,-2.466,0.002,0.095,-0.11,-6.515,-0.001,-0.084,-0.003,-0.074,-1.242,-0.065,-1.662,-0.003,0.022,0.0,-0.013,0.013,-0.69,-0.251,1.719,-0.026,0.0,-0.714,-0.01,0.052,-0.16,-10.331,-0.001,-0.117,-0.006,-0.091,-1.976,0.195,16.681,0.01,0.191,0.001,0.118,0.064,1.632,0.475,0.786,-0.095,0.0,2.554,-0.029,0.105,0.19,7.545,0.003,0.146,-0.009,0.141,1.689
osa-miR535,0.072,-32.537,0.003,0.147,0.002,0.147,-0.094,-2.456,-0.072,-1.834,-0.354,0.0,-3.984,0.003,0.094,0.051,-3.452,0.003,-0.012,-0.005,0.072,-0.284,0.012,19.022,-0.003,0.07,0.001,0.129,0.012,1.989,0.133,-5.506,-2.326,0.0,1.729,0.011,-0.012,-0.136,-6.706,0.002,-0.094,0.016,-0.082,-1.486,0.121,-38.031,-0.002,0.102,0.0,0.226,-0.105,-0.306,-0.105,-0.975,-2.618,0.0,-5.924,0.004,-0.012,-0.199,-17.921,0.0,-0.264,-0.024,-0.077,-3.239
bna-miR156a,0.042,-28.016,0.001,0.147,0.001,0.116,-0.042,-1.849,-0.06,-0.662,-0.015,0.042,-3.583,0.0,0.094,-0.022,-5.027,0.002,-0.073,-0.003,0.0,-0.746,-0.018,15.175,0.002,0.061,-0.001,0.044,0.123,0.117,-0.033,1.178,-0.168,-0.012,2.115,0.028,0.044,0.024,5.113,-0.002,0.072,0.001,0.0,0.754,0.034,-11.377,-0.002,0.025,0.0,0.139,-0.046,-0.041,-0.028,-0.845,0.311,-0.012,-1.503,0.036,0.105,0.003,1.321,0.001,-0.025,0.014,0.0,0.162
gma-miR3522,0.121,-7.302,0.0,0.104,0.001,0.048,0.045,-0.588,0.079,-1.087,-0.059,0.062,-0.591,-0.003,0.045,0.153,4.019,0.003,0.074,0.001,0.118,1.074,-0.136,-15.132,0.001,-0.11,-0.006,-0.368,-0.015,-2.121,-0.157,-0.868,0.169,-0.059,-1.858,-0.028,-0.015,-0.018,-6.227,-0.01,-0.036,-0.02,0.0,-0.854,-0.012,8.252,-0.003,0.012,-0.002,-0.059,-0.082,-1.518,-0.117,1.58,0.653,-0.063,1.353,-0.004,0.051,0.004,-2.844,-0.004,0.089,-0.025,0.0,-0.279
ppt-miR1050,0.058,0.779,-0.001,0.186,0.004,0.147,0.166,-0.331,-0.06,-0.119,-1.569,0.224,0.809,-0.001,0.147,0.204,3.557,0.006,0.186,0.001,0.23,1.101,-0.032,1.036,0.0,-0.202,-0.011,-0.251,-0.102,-0.87,-0.051,1.365,0.471,-0.096,-0.077,-0.007,-0.067,-0.075,-6.572,-0.016,-0.061,-0.001,-0.023,-1.211,0.025,5.383,-0.001,-0.056,-0.011,-0.207,0.068,0.704,0.024,2.142,1.274,-0.043,0.569,-0.015,-0.13,0.003,-0.682,-0.015,0.002,-0.006,0.0,-0.177
bra-miR5714,0.14,-8.113,0.002,0.02,0.007,0.285,0.025,-1.777,0.03,-0.45,-0.055,0.11,-0.923,0.0,0.05,0.008,0.357,0.011,0.0,0.002,0.01,0.101,-0.016,-11.868,-0.002,-0.055,0.002,0.097,-0.026,1.157,-0.153,-1.474,0.44,0.011,-2.032,0.001,-0.053,-0.142,-11.488,0.003,-0.131,-0.004,-0.105,-2.033,0.039,10.369,0.003,0.083,0.0,-0.064,0.056,2.899,0.138,-0.417,0.767,-0.028,1.772,0.021,-0.056,0.178,15.165,0.003,0.125,0.028,0.1,2.612
bra-miRC0191,0.249,-9.978,-0.002,0.033,0.009,0.211,0.147,-1.516,-0.043,-0.504,-0.444,0.169,-1.164,0.001,0.116,0.059,0.491,0.013,0.031,-0.002,0.053,0.238,0.123,-17.839,-0.002,-0.132,0.001,-0.05,0.155,0.151,0.178,0.608,-0.29,-0.044,-3.506,0.024,-0.123,-0.264,-11.279,0.005,-0.278,0.009,-0.167,-2.49,0.04,-12.437,0.0,0.037,-0.001,-0.105,0.158,0.45,-0.072,0.226,0.268,-0.105,-1.889,0.025,-0.037,-0.013,0.994,0.002,-0.029,0.006,0.0,0.006
bna-miR168,0.039,-7.87,-0.003,0.197,0.001,0.127,0.166,0.835,0.014,-0.834,-0.368,0.072,-0.701,0.0,0.208,0.112,-0.659,0.002,0.075,0.01,0.18,0.234,-0.096,3.64,0.002,-0.126,-0.003,-0.164,0.009,-0.917,-0.123,-3.342,-1.114,-0.035,0.346,0.007,-0.126,-0.031,1.74,-0.005,-0.044,0.015,-0.07,0.529,-0.043,11.322,0.002,-0.043,0.0,-0.155,-0.062,0.173,0.012,-1.384,-2.168,-0.037,2.179,-0.021,-0.204,0.164,3.905,0.001,0.155,-0.001,0.022,1.44
ppe-miR398,0.066,-16.224,0.0,0.116,0.003,0.194,0.166,-0.466,0.035,-1.374,0.78,0.058,-2.189,0.0,0.285,0.024,-4.003,0.004,-0.018,0.0,0.072,-0.526,-0.067,12.23,-0.001,-0.099,-0.005,-0.111,0.009,-0.899,-0.071,1.737,-0.406,-0.105,1.336,0.034,0.003,-0.114,7.096,-0.009,-0.067,0.007,-0.137,0.666,-0.012,7.327,0.0,-0.015,-0.004,-0.167,-0.121,0.539,-0.032,-1.969,-1.408,-0.111,1.505,0.035,-0.195,0.175,6.517,-0.005,0.129,0.041,0.108,1.694
ath-miR403,0.058,-9.333,-0.001,0.161,0.009,0.357,-0.006,-0.299,-0.139,-0.723,-0.122,0.141,-0.985,-0.002,0.147,0.06,-2.032,0.013,0.028,0.001,0.05,-0.017,-0.088,-7.473,-0.002,-0.219,-0.007,-0.047,-0.284,-1.083,-0.058,-0.664,-0.301,-0.351,-2.001,-0.021,0.064,-0.331,-15.18,-0.009,-0.246,-0.029,-0.228,-3.08,-0.034,-2.704,0.003,-0.139,-0.01,-0.186,-0.245,-0.83,0.063,0.087,0.065,-0.254,-0.198,-0.005,-0.028,0.034,7.053,-0.014,0.021,-0.001,-0.012,1.098
osa-miR169f,0.161,-17.856,0.0,0.058,0.007,0.252,0.141,-0.26,-0.1,-0.889,-0.248,0.147,-2.22,0.0,0.141,0.065,-2.235,0.011,0.016,0.007,0.102,-0.104,0.094,-6.385,-0.001,-0.105,-0.001,-0.137,0.038,-3.255,-0.094,-1.023,2.366,-0.012,-1.27,-0.009,-0.143,-0.145,-7.762,-0.001,-0.108,-0.029,-0.111,-1.612,0.099,17.822,-0.003,-0.111,-0.001,-0.102,0.08,-3.86,-0.001,5.923,1.299,0.105,1.55,-0.014,-0.241,-0.238,-3.205,-0.002,-0.142,-0.059,-0.229,-1.409
bra-miR162,0.033,-20.546,-0.003,0.014,0.002,0.152,0.105,-0.944,0.002,-1.46,-0.387,0.139,-2.719,-0.002,0.199,0.029,-7.01,0.002,-0.016,-0.002,0.133,-0.969,-0.108,4.223,-0.003,-0.152,-0.006,-0.05,-0.056,-2.576,0.02,-1.886,-0.19,-0.076,0.479,-0.018,0.026,-0.053,-4.802,-0.011,-0.029,-0.023,-0.129,-0.736,0.003,21.727,0.002,0.015,0.001,0.195,-0.118,1.742,-0.017,-2.418,-0.383,0.037,4.015,-0.014,0.05,0.291,7.96,0.003,0.299,0.005,0.118,2.251
110629_x73,0.17,-17.484,-0.007,0.07,0.003,0.112,0.197,0.122,-0.242,-0.438,-0.097,0.175,-2.435,-0.001,0.075,-0.055,-6.411,0.004,-0.075,0.001,-0.01,-1.054,-0.158,-7.495,0.001,-0.032,-0.006,-0.266,0.05,-1.715,0.187,-0.855,-0.091,-0.079,-1.74,-0.003,-0.197,-0.344,-9.58,-0.008,-0.241,-0.021,-0.332,-2.382,-0.111,0.224,-0.002,0.022,-0.002,-0.15,0.169,0.876,-0.302,-0.781,0.065,0.056,0.481,0.015,0.056,0.134,5.454,-0.003,0.094,0.026,0.089,1.231
tae-miR1139,-0.002,-5.757,-0.004,0.09,0.0,0.02,-0.003,-2.858,0.058,-0.325,-0.164,0.02,-0.646,0.0,0.1,0.008,-0.691,-0.001,-0.007,0.001,0.01,-0.017,-0.111,-10.357,-0.007,-0.063,-0.002,-0.063,-0.108,-1.075,-0.16,1.079,-0.255,-0.137,-1.911,0.024,0.013,-0.183,-7.504,-0.004,-0.156,-0.001,-0.166,-1.694,0.05,-4.981,0.001,-0.067,0.001,0.111,-0.053,1.433,-0.164,-0.139,0.602,-0.067,-0.9,0.023,-0.028,-0.037,-9.133,0.003,-0.025,0.0,-0.028,-1.37
nnu-novel-miR-14,0.124,-5.621,0.0,0.293,0.006,0.229,0.066,-0.992,-0.026,-0.062,0.302,0.114,0.116,-0.001,0.124,0.241,3.418,0.01,0.199,0.0,0.223,1.229,-0.078,10.081,-0.001,-0.074,-0.001,0.004,-0.091,-0.424,-0.027,2.768,0.536,-0.1,0.807,-0.007,0.035,-0.138,-3.986,-0.005,-0.094,-0.002,-0.1,-1.069,-0.05,-16.166,0.0,-0.227,-0.004,0.107,-0.114,-0.669,0.128,2.243,2.083,-0.084,-3.426,-0.016,-0.014,-0.421,-12.589,-0.01,-0.349,-0.023,-0.305,-3.15
nnu-miRmiR167b-3p,0.049,-9.709,-0.002,0.139,0.004,0.213,0.167,-0.288,-0.016,-0.688,0.008,0.167,-1.342,-0.002,0.167,-0.03,-3.253,0.004,-0.039,-0.003,-0.006,-0.552,-0.098,-7.384,-0.001,0.029,-0.004,-0.072,0.059,1.141,0.075,-0.444,0.355,-0.078,-1.455,0.002,0.059,-0.19,-5.52,-0.004,-0.154,0.003,-0.124,-1.455,-0.042,4.37,-0.001,0.056,-0.003,-0.139,0.0,0.004,-0.102,1.222,-0.137,-0.104,1.349,0.029,0.125,0.227,4.759,-0.002,0.21,0.009,0.174,1.287
osa-miRNovel16,0.025,-24.151,0.001,0.136,0.001,0.043,0.139,-0.74,0.008,-0.389,-0.08,0.08,-3.037,-0.001,0.056,0.053,0.551,0.002,-0.009,0.007,0.099,0.181,-0.118,13.771,-0.007,-0.092,-0.011,-0.373,0.02,-1.488,-0.051,6.706,-0.609,-0.176,1.586,-0.003,-0.118,-0.06,4.68,-0.018,-0.025,-0.036,-0.19,0.451,0.0,-15.591,-0.003,-0.097,-0.005,-0.021,-0.063,-2.356,-0.115,6.896,-0.92,-0.056,-2.36,-0.027,0.0,-0.123,-8.032,-0.01,-0.11,-0.037,-0.076,-1.578
ath-miR171a,0.172,-10.303,0.001,0.266,0.003,0.105,0.061,-1.753,-0.071,-2.751,-0.654,0.222,-0.169,0.0,0.116,0.402,3.193,0.006,0.326,-0.004,0.524,1.691,-0.012,11.905,0.004,0.058,-0.008,-0.167,0.053,-0.489,-0.035,0.377,0.381,0.035,2.225,-0.024,0.067,0.197,-3.574,-0.012,0.237,-0.012,0.33,0.115,-0.012,5.726,0.001,0.003,-0.006,-0.059,-0.146,0.669,-0.001,-2.514,-0.819,-0.031,1.647,-0.022,0.071,0.227,-0.73,-0.008,0.231,0.002,0.232,0.838
hvu-miR444b,0.163,-6.281,-0.002,0.066,0.007,0.166,0.155,-1.031,-0.109,-0.95,-0.075,0.18,-0.943,0.0,-0.014,-0.009,-0.919,0.01,-0.036,0.0,0.0,-0.157,-0.032,-7.681,-0.001,-0.123,-0.006,-0.114,-0.114,-0.023,0.143,0.55,0.353,-0.143,-1.562,0.006,-0.07,-0.125,-1.078,-0.007,-0.171,0.017,-0.111,-0.595,-0.074,26.688,0.003,-0.071,-0.01,-0.087,-0.18,0.839,-0.01,4.31,0.912,-0.211,4.424,-0.005,0.13,0.203,20.346,-0.015,0.227,0.011,0.059,3.485
vvi-miR3634,0.249,-4.81,0.005,0.072,0.002,0.161,0.089,-1.782,0.002,-0.371,0.021,0.191,-0.122,-0.001,0.094,0.146,1.131,0.005,0.114,0.006,0.188,0.728,0.023,-24.046,0.003,-0.023,0.003,0.079,0.038,0.127,-0.152,-0.45,0.596,0.146,-3.464,-0.025,-0.123,-0.161,-12.84,0.005,-0.142,-0.015,-0.085,-2.288,0.006,-9.456,0.002,-0.025,0.002,0.046,-0.025,-1.694,0.176,2.353,0.862,0.121,-1.448,-0.042,-0.071,-0.135,-9.265,0.005,-0.113,-0.023,-0.149,-1.613
osa-miR399k,0.443,15.773,0.0,0.476,0.011,0.468,0.252,0.991,-0.109,-0.139,-0.786,0.321,3.957,0.002,0.169,0.672,18.849,0.02,0.53,0.029,0.576,4.744,0.079,6.696,0.0,0.184,0.003,0.161,-0.123,-2.246,-0.217,7.716,-1.441,0.117,1.171,-0.011,-0.155,0.107,-3.06,0.007,0.095,-0.024,0.114,-0.206,-0.056,-15.234,-0.001,-0.062,-0.001,0.115,-0.248,-2.253,0.131,7.52,0.128,-0.053,-3.265,-0.029,-0.223,-0.346,-17.802,-0.001,-0.285,-0.059,-0.17,-3.826
osa-miR399i,0.302,-9.295,-0.001,0.285,0.01,0.449,0.033,-0.209,0.018,-0.626,-0.424,0.061,-0.773,0.001,0.127,0.192,6.481,0.019,0.109,0.006,0.141,1.523,0.096,7.066,0.001,0.038,0.005,0.251,-0.076,-1.538,-0.052,0.722,-0.726,-0.047,0.317,0.03,-0.032,-0.115,0.863,0.008,-0.1,-0.003,-0.099,-0.275,0.015,3.4,-0.002,0.019,0.002,0.276,-0.08,-0.369,-0.025,4.483,-0.614,-0.05,0.279,0.021,-0.034,-0.088,0.221,0.002,-0.034,0.001,-0.09,-0.218
ppt-miR1025,0.155,3.326,0.001,0.139,0.002,0.072,0.058,-1.349,-0.059,-0.56,-0.548,0.05,1.247,-0.001,0.036,0.267,8.285,0.004,0.221,0.0,0.233,2.034,-0.17,2.204,-0.001,-0.012,-0.003,-0.146,0.006,-0.103,-0.196,-0.281,0.743,-0.003,0.022,-0.004,-0.018,-0.12,-14.792,-0.007,-0.099,-0.003,-0.061,-2.398,-0.118,5.058,0.002,0.022,0.0,-0.025,0.065,3.945,0.158,0.752,0.926,0.115,0.792,0.001,-0.019,-0.001,4.252,0.0,-0.007,0.013,-0.022,0.582
nnu-novel-miR-40,0.05,-5.754,-0.003,0.348,0.007,0.347,0.2,0.14,-0.174,-0.443,-0.666,0.25,-0.292,0.0,0.125,0.104,-0.528,0.011,0.075,0.003,0.075,0.297,0.0,-0.225,-0.001,0.003,-0.002,0.05,0.158,-1.847,0.057,-0.382,1.388,0.053,-0.61,-0.007,-0.079,-0.226,-4.445,-0.002,-0.158,-0.031,-0.205,-1.42,0.111,-9.423,-0.001,-0.158,-0.001,-0.003,0.222,0.29,-0.077,-7.036,-1.387,0.111,-1.929,0.003,-0.028,-0.148,-13.91,-0.002,-0.129,0.002,-0.017,-2.461
Pau-miR2911,0.06,3.239,-0.003,0.17,0.003,0.195,0.17,1.417,0.039,-0.35,-1.664,0.04,0.66,-0.001,0.235,0.08,1.32,0.004,0.076,0.003,0.11,0.395,-0.042,-22.988,0.0,-0.126,-0.004,-0.268,-0.295,-4.195,-0.006,-3.853,3.596,-0.011,-3.338,-0.004,-0.332,-0.089,-7.55,-0.005,-0.113,-0.017,-0.021,-1.345,0.011,5.469,-0.002,0.011,-0.002,-0.156,-0.192,-3.322,0.031,-0.689,-1.566,-0.011,0.905,0.031,-0.289,0.027,4.645,-0.001,0.064,0.005,0.056,0.75
vvi-miR160a,0.156,-0.489,-0.002,0.249,0.007,0.238,0.039,-0.514,-0.038,-0.381,-0.846,0.036,0.562,-0.002,0.122,0.224,0.659,0.011,0.181,-0.003,0.193,0.779,-0.036,-21.991,-0.001,-0.107,-0.004,-0.05,-0.06,-0.817,-0.139,-0.45,-0.232,-0.212,-3.873,-0.021,-0.121,-0.182,-7.087,-0.006,-0.241,-0.015,-0.124,-1.49,-0.09,0.67,-0.001,-0.123,-0.003,-0.105,-0.128,0.722,-0.018,-1.842,-1.354,-0.093,0.306,-0.018,-0.075,0.056,-1.62,-0.005,0.014,0.012,-0.013,0.304
gso-miR2109,0.072,-16.691,0.001,0.161,0.01,0.366,-0.053,-1.328,-0.032,-2.199,-0.016,0.18,-1.849,-0.001,0.139,0.067,-4.487,0.013,0.044,-0.007,0.125,-0.367,-0.035,-7.729,-0.004,0.094,0.005,0.038,0.058,-0.249,-0.034,-1.117,-0.164,0.023,-0.929,-0.022,0.012,-0.004,-3.587,0.008,-0.011,-0.017,-0.012,-0.418,-0.028,-9.135,-0.003,0.099,0.001,-0.108,0.006,-1.482,0.039,-0.669,0.015,-0.093,-1.482,0.017,-0.071,-0.068,-1.992,0.005,-0.088,0.001,-0.059,-0.458
osa-miR5082,0.074,-21.498,-0.004,0.202,0.002,0.083,0.169,-2.026,0.109,-3.769,0.158,0.14,-2.607,-0.002,0.157,0.137,-6.208,0.002,0.071,-0.011,0.306,-0.525,-0.017,-1.177,0.002,0.048,-0.003,-0.1,0.041,-1.379,0.088,2.372,0.267,-0.043,0.338,0.024,-0.032,0.114,7.956,-0.003,0.151,0.009,0.121,1.453,0.043,-1.874,0.0,-0.05,-0.002,0.055,0.0,-0.138,0.018,-0.436,0.339,-0.045,-0.296,0.01,0.059,0.037,0.115,0.0,0.031,0.011,0.148,0.091
novel_cma-miR101,0.109,-7.094,0.002,0.122,0.012,0.519,0.075,-0.942,0.04,-1.111,0.504,0.317,-0.396,0.001,0.24,0.186,6.043,0.016,0.124,0.004,0.188,1.464,0.014,5.576,-0.002,-0.01,0.005,0.35,-0.157,0.511,-0.102,-1.117,-0.576,0.033,0.304,-0.017,-0.007,-0.19,-11.677,0.008,-0.126,-0.01,-0.148,-2.12,0.015,1.287,0.002,0.043,0.001,0.321,-0.241,-0.382,0.051,-0.246,-0.299,-0.14,0.122,-0.002,-0.018,-0.109,3.397,0.003,-0.068,-0.004,-0.153,0.211
osa-miRNovel146,0.08,-17.746,-0.004,0.13,0.005,0.173,0.056,-0.662,0.001,-1.0,-0.129,0.0,-2.552,-0.002,0.062,-0.033,-3.191,0.008,-0.075,-0.002,-0.006,-0.56,-0.033,-17.424,0.002,0.039,-0.003,-0.229,-0.18,-2.939,0.048,-0.706,2.798,-0.15,-3.348,-0.014,-0.17,-0.259,-10.32,-0.005,-0.253,-0.028,-0.176,-2.314,-0.035,12.86,-0.002,-0.021,-0.006,-0.229,0.056,-2.81,-0.026,1.042,2.203,-0.069,1.823,0.025,-0.007,-0.015,0.746,-0.01,0.055,-0.014,0.007,-0.053
sly-miR390b-3p,0.055,-8.314,-0.001,0.18,0.005,0.18,0.141,-0.176,0.07,-0.36,0.093,0.141,-0.875,-0.002,0.102,0.089,2.257,0.006,0.038,0.003,0.089,0.616,-0.164,-14.133,0.0,-0.164,-0.007,-0.143,-0.023,-1.038,-0.109,1.26,-0.583,-0.143,-2.809,0.027,0.053,-0.285,-6.975,-0.011,-0.25,-0.007,-0.246,-1.746,-0.093,-13.317,-0.001,-0.115,-0.01,-0.232,-0.09,-1.483,-0.118,0.975,-0.405,-0.167,-2.18,0.008,-0.003,-0.171,-8.073,-0.012,-0.149,-0.01,-0.142,-1.612
rsa-miRn19,0.46,-9.109,0.002,0.127,0.009,0.371,0.26,0.624,0.038,-0.798,0.347,0.111,-0.938,-0.001,0.199,0.202,5.531,0.017,0.1,0.007,0.158,1.42,0.041,-4.07,-0.001,0.041,0.002,0.058,0.152,-0.179,-0.21,1.035,0.281,0.023,-0.736,0.01,-0.012,-0.031,2.114,0.006,-0.054,0.006,-0.056,0.21,-0.133,-5.956,0.002,0.003,0.0,-0.173,0.031,-0.027,0.16,0.087,0.187,-0.015,-0.627,-0.017,-0.012,-0.011,3.126,0.0,-0.03,-0.004,-0.059,0.506
gma-miR159d,0.042,-7.913,-0.001,0.244,0.003,0.166,0.1,-0.308,0.054,-1.263,0.384,0.075,-0.712,-0.001,0.116,0.145,5.001,0.005,0.078,0.007,0.158,1.106,-0.123,-18.807,0.0,-0.044,-0.008,-0.102,0.047,-0.918,0.069,-0.333,2.392,-0.164,-4.156,-0.012,-0.099,-0.503,-16.997,-0.011,-0.465,-0.022,-0.386,-3.946,-0.012,-13.148,-0.001,-0.164,-0.005,-0.062,0.105,0.71,0.077,1.118,5.752,-0.019,-3.074,-0.022,-0.136,-0.49,-16.597,-0.009,-0.365,-0.042,-0.347,-4.029
esa-miRn1.2-3p,0.066,-6.673,0.007,0.058,0.007,0.182,0.029,-1.82,0.179,-0.409,-0.108,0.24,-0.334,-0.002,0.066,0.155,8.225,0.006,0.106,0.002,0.112,1.641,-0.074,-21.148,0.001,-0.026,0.0,-0.095,-0.004,-0.75,-0.016,-0.857,0.117,0.004,-2.844,-0.025,-0.074,-0.036,-10.114,0.0,-0.059,-0.014,0.015,-1.435,-0.027,-1.099,0.002,-0.027,-0.001,-0.1,-0.027,-0.126,-0.216,-0.275,-0.286,0.086,0.173,0.001,0.023,0.104,-6.05,-0.002,0.091,0.001,0.166,-0.566
osa-miR1850,0.302,2.513,-0.003,0.0,0.005,0.244,0.247,3.053,-0.102,-0.014,0.863,0.244,1.613,0.002,0.313,0.398,9.023,0.008,0.298,0.02,0.313,2.438,0.07,-2.894,0.0,0.0,-0.002,-0.123,-0.058,-0.922,-0.064,-1.023,1.787,-0.076,-1.275,-0.011,-0.111,-0.23,-14.543,-0.001,-0.173,-0.023,-0.111,-2.896,-0.099,-30.594,0.0,0.0,-0.004,-0.297,-0.238,-3.831,0.169,-1.712,2.978,-0.198,-5.435,-0.024,-0.235,-0.424,-17.269,-0.006,-0.357,-0.049,-0.235,-3.935
osa-miR395f,0.089,5.369,0.003,0.042,0.009,0.391,0.05,0.447,-0.134,-0.399,-0.133,0.46,1.847,0.002,0.285,0.354,8.265,0.009,0.281,0.019,0.352,2.396,-0.254,7.166,0.002,-0.012,0.003,0.12,-0.167,-0.484,0.161,2.178,-0.133,0.319,1.395,-0.005,-0.053,0.066,6.068,0.001,0.086,0.002,0.023,1.038,-0.183,16.258,0.003,-0.012,-0.002,-0.006,0.0,-1.871,0.006,1.625,-1.771,0.161,2.73,-0.003,0.003,0.168,16.246,-0.003,0.182,0.013,0.142,2.81
bni-novel-miR43,0.144,-11.88,0.0,0.166,0.014,0.496,-0.003,0.283,0.011,-0.399,-0.647,0.296,-0.964,0.0,0.133,0.15,5.309,0.018,0.102,0.003,0.102,1.272,-0.041,4.454,-0.001,0.009,0.007,0.287,-0.006,-1.611,-0.009,0.345,-0.575,0.035,-0.137,0.034,0.02,-0.227,-6.222,0.006,-0.166,0.001,-0.167,-1.615,-0.04,7.493,-0.001,-0.05,0.0,0.111,-0.241,1.86,0.005,-0.375,-0.723,-0.139,0.205,0.039,0.08,-0.24,-7.555,-0.002,-0.182,0.009,-0.176,-1.825
sly-miR6022,0.072,-5.78,-0.001,0.166,0.005,0.327,0.072,0.172,-0.19,0.042,0.442,0.102,0.122,-0.001,0.302,0.218,1.397,0.008,0.169,0.005,0.211,0.928,-0.158,-20.55,0.001,0.009,0.001,0.132,-0.211,-0.904,0.099,-0.611,-0.976,0.053,-3.348,-0.017,-0.026,-0.196,-8.696,0.001,-0.191,-0.022,-0.111,-1.794,-0.015,-18.087,0.0,-0.05,0.0,-0.028,-0.341,-1.837,-0.089,-1.848,1.514,-0.003,-2.9,-0.023,-0.028,-0.148,-19.1,0.0,-0.14,-0.03,-0.059,-3.154
bdi-miR528,0.075,-10.59,-0.001,0.05,0.001,0.147,0.089,-0.091,-0.073,-0.712,0.621,0.042,-1.05,0.002,0.158,0.097,-2.155,0.002,0.044,0.008,0.089,0.022,-0.164,-4.585,0.001,-0.058,0.001,0.064,-0.135,0.551,0.018,3.392,0.265,-0.012,-1.214,-0.004,-0.108,-0.202,-0.405,0.001,-0.187,0.001,-0.17,-0.708,-0.099,6.733,0.0,-0.003,0.001,-0.028,-0.142,-1.907,-0.018,2.817,-1.739,-0.012,0.828,-0.028,-0.115,-0.042,0.11,0.002,-0.012,-0.015,-0.062,0.031
ptc-miR481,0.14,-2.209,0.001,0.124,0.008,0.267,0.157,-1.038,0.14,-0.975,-0.156,0.182,0.097,-0.001,0.11,0.174,11.334,0.012,0.123,0.003,0.169,2.164,-0.156,-9.222,-0.002,-0.061,-0.008,-0.201,-0.232,-0.066,0.102,-5.238,-1.946,-0.143,-1.593,0.006,-0.061,-0.126,-11.303,-0.011,-0.143,0.017,-0.065,-1.95,-0.182,-1.831,-0.001,-0.034,-0.009,-0.314,-0.243,0.183,-0.096,-2.577,-0.934,-0.2,-0.633,-0.004,-0.064,-0.173,-17.616,-0.013,-0.146,0.008,-0.123,-3.048
bna-miR6035,0.299,-1.575,0.003,0.061,0.004,0.161,0.019,-1.5,0.037,-0.643,-0.033,0.055,0.414,0.002,0.042,0.198,5.806,0.009,0.124,0.011,0.141,1.516,0.135,-8.396,0.005,-0.047,0.0,0.05,-0.155,0.873,-0.082,-1.246,0.479,-0.108,-1.422,0.004,-0.029,0.009,-2.34,0.001,-0.05,0.005,0.032,-0.276,0.127,7.721,0.0,0.009,0.0,0.102,0.13,0.143,-0.012,7.449,-0.905,-0.056,0.655,-0.009,0.068,-0.054,-4.726,-0.001,-0.023,-0.029,-0.031,-0.877
gma-MIR1520k-3p,0.127,-17.975,-0.001,0.0,0.002,0.114,0.0,-0.133,-0.12,-0.382,0.202,0.075,-1.774,0.0,0.105,0.122,-1.705,0.004,0.073,0.001,0.1,0.213,-0.053,15.768,-0.001,0.0,-0.002,-0.02,-0.108,1.844,-0.004,-0.617,-0.76,-0.088,1.773,0.01,-0.105,-0.045,4.221,-0.004,-0.024,0.015,-0.056,0.474,-0.019,-36.591,0.0,0.0,-0.002,-0.053,-0.173,-0.239,0.009,-2.347,1.944,-0.093,-5.525,-0.002,-0.105,-0.219,-12.949,-0.005,-0.222,-0.018,-0.111,-2.545
ppt-miR1221,0.277,0.598,0.002,0.061,0.002,0.094,0.258,-1.62,0.056,-0.266,0.514,0.064,0.595,0.0,0.241,0.212,6.138,0.005,0.141,0.008,0.158,1.507,-0.015,-0.018,0.004,-0.047,-0.001,-0.193,0.056,1.18,-0.08,1.029,-0.682,-0.044,0.152,0.009,-0.029,0.101,14.169,0.0,0.049,0.018,0.006,2.422,-0.164,23.156,-0.004,-0.05,-0.001,-0.241,-0.111,1.489,0.004,2.638,-0.748,-0.022,4.392,0.018,0.028,0.413,32.556,0.0,0.308,0.046,0.183,5.894
